Score,ViewCount,AnswerCount,CommentCount,FavoriteCount
15,244,1,2,1
13,0,0,2,0
11,417,3,1,0
3,0,0,0,0
23,13526,6,1,2
11,1019,2,0,1
18,0,0,0,0
10,251,1,1,1
8,0,0,1,0
13,1125,1,2,2
15,0,0,2,0
14,321,2,1,0
0,0,0,0,0
0,0,0,0,0
4,110,1,1,0
2,0,0,0,0
9,0,0,1,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
7,0,0,0,0
11,124,1,0,0
7,0,0,0,0
8,642,1,1,0
16,209,2,1,1
2,0,0,1,0
12,0,0,2,0
2,0,0,0,0
57,14412,5,0,7
13,393,1,3,0
25,19991,2,4,2
75,27560,2,0,23
13,482,1,0,0
37,0,0,2,0
7,0,0,0,0
123,0,0,4,0
8,221,2,1,0
6,0,0,3,0
30,0,0,0,0
4,0,0,5,0
4,0,0,1,0
11,280,2,3,2
14,980,1,10,1
5,165,2,0,0
5,0,0,1,0
13,458,2,2,1
9,0,0,3,0
1,0,0,1,0
8,390,2,2,0
3,0,0,3,0
11,8492,3,0,2
12,0,0,5,0
9,0,0,0,0
1,34,1,0,0
2,0,0,0,0
5,0,0,2,0
8,0,0,0,0
3,759,2,0,0
7,0,0,0,0
9,0,0,8,0
9,0,0,0,0
0,0,0,0,0
0,0,0,0,0
10,1081,4,7,0
13,0,0,1,0
7,1086,5,0,0
50,11641,4,0,4
5,0,0,0,0
3,0,0,2,0
18,0,0,0,0
64,0,0,2,0
3,0,0,0,0
10,0,0,0,0
8,0,0,2,0
0,0,0,0,0
0,0,0,0,0
6,5647,4,1,0
15,0,0,0,0
31,7079,10,4,5
11,0,0,0,0
28,0,0,3,0
2,0,0,0,0
11,0,0,0,0
5,0,0,0,0
4,0,0,0,0
7,4390,1,0,2
10,0,0,10,0
14,0,0,10,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
-1,0,0,0,0
8,58,1,0,0
7,0,0,0,0
20,1775,4,2,4
19,0,0,4,0
